Sheet Row Number,Name,Arrondissement,Favorite,Cuisine,Vibe,Features,Address,Postal Code,Website,Google Place ID,Latitude,Longitude
1860,Prima | Pizza Gourmet,17,,,casual,,"103 Rue des Dames, 75017 Paris, France",75017,https://www.prima-paris.fr/,ChIJ7V91Ildv5kcR9QlmCtcVfOg,48.8828679,2.3180007
1846,Prout Prout - Bistrot Paris 17,17,,bistro,"casual, classic",,"19 Rue Médéric, 75017 Paris, France",75017,https://www.proutprout17.fr/,ChIJBxMz845v5kcR3QiUgmCDnF8,48.8809267,2.3038122
1808,Restaurant Janine,17,,,,,"90 Rue des Dames, 75017 Paris, France",75017,https://restaurantjanine.fr/,ChIJT3fmjZtv5kcRWZi1wjSHm0M,48.8830652,2.317973
1167,Restaurant Junglii Indian Kitchen Paris 17,17,,,casual,,"78 Rue de La Jonquière, 75017 Paris, France",75017,https://www.junglii.fr/carte,ChIJgaQ1A4lv5kcRXmDJT6Mje6Y,48.8944964,2.3201487
1871,Restaurant La Table du Caviste bio Paris 17,17,,,,,"55 Rue de Prony, 75017 Paris, France",75017,https://www.latable.bio/,ChIJxbJB2L1v5kcR_UZ0psvxv-U,48.8824483,2.3036529
1889,Restaurant le Serpentine,17,,wine_bar,casual,,"11 Av. Mac-Mahon, 75017 Paris, France",75017,https://leserpentine-restaurant.com/,ChIJFTA-m3Rv5kcRnUwNPABW2Gs,48.8758501,2.2942294
1844,Restaurant OXTE,17,,,,,"5 Rue Troyon, 75017 Paris, France",75017,https://www.restaurant-oxte.com/,ChIJCU_1nuxv5kcRmfS3m_h6mCg,48.8758634,2.2953101
1848,Roco,17,,,casual,,"1 Rue Guillaume Tell, 75017 Paris, France",75017,http://www.rocoparis.com/,ChIJ3-8KopFv5kcR5g7DBugQGmA,48.8838044,2.2928972
1849,ROOSTER PAR FRÉDÉRIC DUCA,17,,,,,"137 Rue Cardinet, 75017 Paris, France",75017,https://www.rooster-restaurant.com/,ChIJsz8Sqrpv5kcRm1B61Dpq_t8,48.8867428,2.3130887
1850,Salicorne,17,,,,,"11 Rue Brochant, 75017 Paris, France",75017,https://www.salicorne-batignolles.com/,ChIJ4-PFEEJv5kcRytYMjbsJrEA,48.8886183,2.3173273
1851,SOLIS bar & restaurant Méditerranéen,17,,,,,"39 Av. de Wagram, 75017 Paris, France",75017,https://www.restaurantsolis.com/,ChIJqUtWRh9v5kcROPTBOi_FpiQ,48.8771496,2.2970215
1852,Sonata Pizzeria Brochant,17,,,,,"45 Rue Brochant, 75017 Paris, France",75017,https://www.sonata-pizzeria.com/brochant,ChIJhw8hQwRv5kcR97ciKFjo18I,48.8904377,2.319679
1869,Sonia,17,,,,,"115 Av. de Villiers, 75017 Paris, France",75017,https://www.sonia-restaurant.com/,ChIJk57nq05v5kcR-2D5jS3_gHA,48.8850243,2.295397
1853,Sormani,17,,,,,"4 Rue du Général Lanrezac, 75017 Paris, France",75017,http://sormanirestaurant.com/,ChIJb5-96-xv5kcRAFSoQZTfCc0,48.8759167,2.2938139
1890,Sornettes - Batignolles,17,,"cafe, wine_bar",casual,,"35 Rue la Condamine, 75017 Paris, France",75017,https://sornettes.fr/,ChIJZwenLDhv5kcRud9PzLNtf_4,48.88655,2.3227833
1854,Sushi Etoile,17,,sushi,casual,,"271 Bd Pereire, 75017 Paris, France",75017,https://sushietoile.wordpress.com/,ChIJgfzsnilv5kcR5IF49kxMtdE,48.8780453,2.2851586
1867,The Blossom Arms,17,,wine_bar,casual,,"17 Rue Guy Môquet, 75017 Paris, France",75017,https://theblossomarms.com/,ChIJnextjdhv5kcR6l7MGk8sELQ,48.8917366,2.3210431
1855,The Little Italy,17,,,casual,,"5 Pl. de Clichy, 75017 Paris, France",75017,https://www.thelittleitalyparis.fr/,ChIJb-DE8Exu5kcRDV4SGuFH4Fk,48.8836373,2.3265966
1856,The Place to...Wagram - Restaurant Pub Paris 17,17,,"cafe, wine_bar",casual,,"47 Av. de Wagram, 75017 Paris, France",75017,https://www.theplaceto.paris/,ChIJ54-Wy5Rv5kcRxW8auRe41GQ,48.8775016,2.2974792
1883,Vinello,17,,,,,"106 Rue Nollet, 75017 Paris, France",75017,https://vinello-restaurant.com/,ChIJY7HzKAdv5kcR3eg8uXFdXNw,48.8888429,2.3184017
1858,Wim a Table,17,,,,,"45 Rue des Moines, 75017 Paris, France",75017,https://wim-a-table.com/,ChIJAQDcNqxv5kcRgqGxwOq-EsY,48.8899008,2.3202369
1892,Abuela Pigalle,18,,wine_bar,casual,,"10 Bd de Clichy, 75018 Paris, France",75018,https://abuela.fr/,ChIJmXqvMUZu5kcRhwAZdpyXqL4,48.8824184,2.3386502
1893,adraba,18,,,,,"40 Rue Véron, 75018 Paris, France",75018,https://www.adraba-paris.com/,ChIJ81Z3EIhv5kcR-eurCHPgU14,48.8852372,2.3349937
1982,"Amaluna - Bar Festif De Nuit, Restaurant Paris 18",18,,wine_bar,casual,,"12 Espl. Nathalie Sarraute, 75018 Paris, France",75018,https://amalunarestaurant.fr/en/home,ChIJpViNmIFv5kcRh_YhE_HVm5I,48.888187,2.3624759
1894,Amonē,18,,,,,"13 Rue Chappe, 75018 Paris, France",75018,https://restaurants-amone.com/,ChIJ39JFWGVv5kcR1IXYU61ayfs,48.8846785,2.3416463
1895,Armande,18,,,,,"26 Rue Tholozé, 75018 Paris, France",75018,,ChIJ-5kHXjZv5kcRmPW0wRJ-8z4,48.8870236,2.3360831
1896,Au Paradis Tropical,18,,,,,"6 Rue Custine, 75018 Paris, France",75018,https://www.auparadistropical.com/en,ChIJpbWNuGdu5kcRn6W2vB7PNrY,48.8878283,2.3489379
1897,Bel-Ami,18,,"cafe, wine_bar",casual,,"128 Bd de Clichy, 75018 Paris, France",75018,https://www.lebelamicafe.com/,ChIJOxqYz01u5kcR0J23wEcwEiM,48.8847144,2.3292471
1935,Bistrot La Renaissance,18,,"bistro, wine_bar","casual, classic",,"112 Rue Championnet, 75018 Paris, France",75018,https://www.bistrotlarenaissance.fr/,ChIJ0xEkiVhu5kcRf4TdPHZRIMo,48.8958439,2.3397433
1899,Bob's Bake Shop,18,,,,,"12 Espl. Nathalie Sarraute, 75018 Paris, France",75018,http://www.bobsjuicebar.com/bake-shop.html,ChIJOf1opftv5kcRejSMahu6Vqg,48.8882152,2.3625319
1900,Bobby,18,,,,,"29 Rue Lambert, 75018 Paris, France",75018,https://lebobby.com/,ChIJs1Cy4cRv5kcRCbGxR9U7tx0,48.8891466,2.3447993
1901,Bouillon Pigalle,18,,,,,"22 Bd de Clichy, 75018 Paris, France",75018,https://bouillonlesite.com/bouillon-pigalle,ChIJVb7Sx0Vu5kcR5gDcYjssPWw,48.8826242,2.3374171
1903,Brasserie Barbès,18,,wine_bar,casual,,"2 Bd Barbès, 75018 Paris, France",75018,https://www.brasseriebarbes.com/,ChIJ4f7h_mhu5kcRtb3IkgcT7pU,48.884007,2.3497388
1977,Caboulot,18,,,,,"123 Rue Caulaincourt, 75018 Paris, France",75018,https://caboulot18.com/,ChIJE_0RjMBv5kcRW0JLbIJbU-8,48.8899272,2.3418504
1905,Café de Luce - Bistrot parisien,18,,"bistro, cafe","casual, classic",,"2 Rue des Trois Frères, 75018 Paris, France",75018,https://www.cafedeluce.com/,ChIJERDTe1xv5kcRYJ_ltcqznqY,48.883568,2.3417938
1906,Café des Deux Moulins,18,,cafe,casual,,"15 Rue Lepic, 75018 Paris, France",75018,https://cafedesdeuxmoulins.fr/en,ChIJt_Jyok9u5kcRRosujpFK-70,48.8849197,2.3336242
1908,Café Pimpin 18e,18,,cafe,casual,,"64 Rue Ramey, 75018 Paris, France",75018,https://www.cafepimpin.fr/,ChIJ3zypfl5u5kcRO_9l3tzrrg8,48.8917686,2.3449057
1909,Chantoiseau,18,,,,,"63 Rue Lepic, 75018 Paris, France",75018,https://www.chantoiseau-paris.fr/,ChIJF_F9KShv5kcRK4C7yvLdvxY,48.8877673,2.3347259
1910,Chez Eugène,18,,,,,"17 Pl. du Tertre, 75018 Paris, France",75018,https://chezeugene-paris.fr/fr,ChIJIb8RTVtu5kcRF-ICQ4vXAEY,48.8866176,2.3405409
1911,Chez Ginette,18,,wine_bar,casual,,"101 Rue Caulaincourt, 75018 Paris, France",75018,https://www.chezginette18.com/,ChIJw0A4TVpu5kcR1SGilUrau2o,48.8897895,2.3387442
1912,Chez Plumeau,18,,"cafe, wine_bar",casual,,"4 Pl. du Calvaire, 75018 Paris, France",75018,https://lydiasteven.wixsite.com/chezplumeau,ChIJIUrks0Ru5kcRSdNhNjJA9Dc,48.8863242,2.3402975
1313,Chez Pradel,18,,"cafe, wine_bar",casual,,"168 Rue Ordener, 75018 Paris, France",75018,https://chezpradel.shop/,ChIJ85emdFdu5kcR5gtx5HsSvSQ,48.8939453,2.3350601
1913,Chez Rita et Claudio,18,,,,,"70 Rue du Mont-Cenis, 75018 Paris, France",75018,https://chez-rita-et-claudio.business.site/,ChIJP7bABa9v5kcRbIu6_ky4tvU,48.8917342,2.3440081
1915,Double,18,,,,,"87 Rue Lamarck, 75018 Paris, France",75018,https://www.double-paris.fr/,ChIJdSfSJABv5kcRWC22GCWHiQs,48.8903015,2.3355179
