Sheet Row Number,Name,Arrondissement,City,Postal Code,Status,Needs Review,Google Place ID,Latitude,Longitude,Exclusion Reasons,Location Concern
639,Constantia Martyrs,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
640,Hardware Société,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
646,Pépin.,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
648,Ristorante Luigi,6,Paris,75006,closed,FALSE,ChIJyTMUNnxx5kcRj_CEBjpVios,48.8538744,2.3378068,inactive,
653,Silencio des Prés,6,Paris,75006,closed,FALSE,ChIJ80U9qD1u5kcRkUDEOq_16PE,48.8546623,2.3333172,inactive,
655,Itegue Taitu,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
656,La Mère Lachaise,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
659,Tripletta Belleville,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
661,Cafejoyeux - Paris 2 & 8 - Salads,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
662,Dumpling Queen - Paris 10 - Chinese,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
664,El Vecino - Paris 3 - Mexican,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
667,Gaijin Ramen Lab - Paris 14 - Japanese,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
668,Jium - Paris 15 - Korean,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
